CustomerID,Age,Gender,Location,JoinDate,LoyaltyScore
CUST_00001,40,M,San Diego,2022-03-18,51
CUST_00002,33,M,Los Angeles,2023-09-09,89
CUST_00003,42,M,Los Angeles,2023-12-07,33
CUST_00004,53,M,San Jose,2021-12-03,78
CUST_00005,32,M,San Jose,2023-03-26,24
CUST_00006,32,F,San Diego,2023-04-26,75
CUST_00007,53,F,Philadelphia,2023-05-18,25
CUST_00008,44,F,Houston,2023-08-12,28
CUST_00009,29,M,Chicago,2021-12-08,7
CUST_00010,41,M,New York,2023-09-19,36
CUST_00011,29,M,Chicago,2022-02-08,10
CUST_00012,29,Other,Dallas,2021-12-04,36
CUST_00013,37,F,Phoenix,2021-07-02,95
CUST_00014,18,F,Philadelphia,2022-06-22,83
CUST_00015,18,M,Phoenix,2023-10-04,18
CUST_00016,28,F,New York,2022-05-07,6
CUST_00017,22,M,San Jose,2022-10-26,92
CUST_00018,38,F,New York,2023-11-30,7
CUST_00019,24,F,Houston,2023-12-02,12
CUST_00020,18,Other,Chicago,2023-09-28,41
CUST_00021,52,F,San Diego,2023-05-23,63
CUST_00022,32,M,San Antonio,2023-05-08,98
CUST_00023,35,F,San Antonio,2022-08-02,25
CUST_00024,18,F,San Diego,2022-04-25,81
CUST_00025,28,M,San Jose,2023-12-05,53
CUST_00026,36,M,San Antonio,2022-06-06,33
CUST_00027,21,M,San Jose,2023-06-12,87
CUST_00028,39,M,Los Angeles,2021-12-29,73
CUST_00029,27,M,Houston,2022-03-07,6
CUST_00030,31,F,Philadelphia,2022-01-13,62
CUST_00031,27,M,Chicago,2022-06-22,66
CUST_00032,57,M,Chicago,2022-10-29,9
CUST_00033,34,F,Philadelphia,2023-05-21,67
CUST_00034,22,F,New York,2022-09-29,16
CUST_00035,44,F,New York,2022-05-08,89
CUST_00036,20,M,Phoenix,2023-03-23,88
CUST_00037,37,F,New York,2021-09-25,93
CUST_00038,18,F,San Jose,2021-07-25,55
CUST_00039,19,M,San Diego,2023-12-26,40
CUST_00040,37,M,Los Angeles,2021-11-15,26
CUST_00041,43,F,Philadelphia,2021-09-28,38
CUST_00042,37,F,San Jose,2023-07-22,35
CUST_00043,33,Other,San Jose,2022-01-17,87
CUST_00044,31,F,Phoenix,2022-10-26,68
CUST_00045,18,F,San Jose,2023-01-18,59
CUST_00046,26,F,Houston,2023-03-23,14
CUST_00047,29,M,New York,2023-07-26,47
CUST_00048,47,M,Chicago,2023-05-26,71
CUST_00049,39,M,Houston,2021-04-26,72
CUST_00050,18,F,Los Angeles,2021-11-11,42
CUST_00051,38,F,Los Angeles,2023-01-22,51
CUST_00052,30,F,Los Angeles,2023-09-19,19
CUST_00053,26,M,New York,2023-09-29,66
CUST_00054,42,F,San Jose,2022-12-08,47
CUST_00055,47,M,Los Angeles,2023-09-24,65
CUST_00056,46,M,Philadelphia,2022-12-30,42
CUST_00057,24,F,Chicago,2021-08-17,38
CUST_00058,31,F,San Jose,2023-01-14,13
CUST_00059,38,Other,Phoenix,2022-04-23,44
CUST_00060,46,M,New York,2023-04-06,24
CUST_00061,29,F,San Diego,2021-09-27,96
CUST_00062,32,M,Houston,2023-11-18,30
CUST_00063,21,M,Dallas,2021-12-15,70
CUST_00064,20,F,Houston,2022-09-18,38
CUST_00065,44,F,Los Angeles,2022-07-01,97
CUST_00066,51,F,Chicago,2023-08-27,23
CUST_00067,34,M,Phoenix,2021-04-10,74
CUST_00068,47,F,San Jose,2021-06-01,57
CUST_00069,39,M,Philadelphia,2022-12-10,79
CUST_00070,27,F,San Antonio,2023-10-13,23
CUST_00071,39,M,Houston,2022-06-15,36
CUST_00072,53,M,San Antonio,2023-03-07,57
CUST_00073,34,F,San Jose,2021-09-04,1
CUST_00074,53,F,Chicago,2022-03-29,72
CUST_00075,18,M,San Antonio,2022-04-08,3
CUST_00076,44,M,Houston,2021-07-09,14
CUST_00077,36,F,San Diego,2021-08-02,81
CUST_00078,31,M,Dallas,2022-12-27,34
CUST_00079,36,M,San Antonio,2022-05-20,70
CUST_00080,18,M,San Diego,2023-06-19,69
CUST_00081,32,M,San Diego,2022-01-10,51
CUST_00082,39,F,Los Angeles,2023-10-22,29
CUST_00083,52,F,Dallas,2023-11-16,99
CUST_00084,28,F,Philadelphia,2022-02-23,82
CUST_00085,25,Other,Houston,2023-05-13,48
CUST_00086,28,M,Phoenix,2021-11-01,94
CUST_00087,45,M,San Jose,2023-03-11,79
CUST_00088,38,M,Phoenix,2023-10-12,79
CUST_00089,28,M,San Antonio,2021-08-09,16
CUST_00090,41,M,Dallas,2023-05-08,57
CUST_00091,36,F,San Antonio,2021-07-28,97
CUST_00092,46,F,Dallas,2023-09-20,10
CUST_00093,26,M,Houston,2022-12-08,19
CUST_00094,31,F,San Jose,2023-03-23,67
CUST_00095,30,F,San Jose,2022-09-24,36
CUST_00096,18,F,Houston,2022-03-22,4
